time,city,words,rand1,rand2,nor,uni,exp
1970-01-01 00:00:00,Dasongshu,a,119818,-972776739,-1910337114.26,137460831.74,325246786.09
1970-01-01 00:00:30,Zamoskvorech’ye,a,143087,1445616843,-618430071.23,1407786904.85,8588081974.04
1970-01-01 00:01:00,Bella Vista,a,98938,217162208,-1414316987.17,223834446.78,1754567324.92
1970-01-01 00:01:30,Severodvinsk,a,612553,-2101561062,-442774221.64,1630144096.36,4437910912.39
1970-01-01 00:02:00,Shangma,aa,851,314890993,1049898465.4,62793529.12,330617190.34
1970-01-01 00:02:30,Ryazhsk,abandoned,860337,-1788590760,-71053361.4,1009711131.39,4239936683.93
1970-01-01 00:03:00,Jiling,a,770463,-1942911820,3069843548.66,799905049.77,5214112852.73
1970-01-01 00:03:30,Dordrecht,abilities,87243,-531457889,784105105.07,701302745.25,2075740642.77
1970-01-01 00:04:00,Chenfang,a,247678,1805915787,1198669830.27,7568047.24,2331425003.8
1970-01-01 00:04:30,Saint-Quentin-en-Yvelines,a,865741,1306880830,2728014379.49,1804920950.59,3285501039.01
1970-01-01 00:05:00,Mawa,a,922775,2093147638,-1073374299.95,545944946.46,1460338274.37
1970-01-01 00:05:30,Zongzhai,aa,993291,2125002923,-2770897558.2,1152350037.36,370540568.04
1970-01-01 00:06:00,Myski,a,339555,-458215728,2119454790.02,255250689.25,4570985314.39
1970-01-01 00:06:30,Velké Opatovice,a,288194,-673991274,1762940783.99,1276971865.55,2224304152.34
1970-01-01 00:07:00,Vnukovo,aa,696325,-200716257,2902948132.04,2020998959.04,2070126674.7
1970-01-01 00:07:30,Arbaoua,a,488261,-1344345586,-1049403146.56,1944997851.83,662346586.06
1970-01-01 00:08:00,Ituzaingó,a,723053,756915935,-2053388132.34,1801833919.63,2650578442.76
1970-01-01 00:08:30,Teodoro Sampaio,aaa,729562,1352856729,-1183457632.06,1791138396.33,1352162152.1
1970-01-01 00:09:00,Caramay,a,637,1454089105,-3983327685.21,468202189.78,180799229.95
1970-01-01 00:09:30,Zhuping,aa,236688,-1020325648,-3872823702.4,1062127170.8,398809640.2
1970-01-01 00:10:00,Gemena,acceptable,10505,-564421465,-2503967258.92,1794185102.63,5304622820.64
1970-01-01 00:10:30,Sosnówka,alberta,591202,-1741066675,-140066825.42,299802557.8,3888774766.19
1970-01-01 00:11:00,Lypnyazhka,a,673990,858598405,2837586287.41,677277463.93,755424760.87
