StreetName,rand1,nor1,uni1
Quincy,15592,1282197609.6555662,2044520680.0031924
Mallard,660161,82862622.0727937,2513607915.8857746
Bluejay,935202,662017488.9637883,302482607.5892425
Sunbrook,896589,1960271982.222758,2792824739.926651
Hoffman,328177,1560210035.6666865,524090076.74963146
Gulseth,923704,1625443179.5534477,1287196182.8409011
Vahlen,823049,1762509671.9618764,237697902.04498294
Golf View,736289,532441303.90768707,1863248157.897869
Oak,797526,881162017.713766,5408774097.341705
Mosinee,101797,1212366740.1561475,3518365663.078672
Lindbergh,166825,1625665554.7237167,2329911494.7091036
Lakewood Gardens,900609,1283055153.7837558,4813308879.037068
Iowa,377695,571864835.430205,2211888.2670548493
Novick,234850,327079039.5700106,214587780.82984206
Fairfield,344362,1731545660.3119614,1038749519.5211666
Sunnyside,789258,1521108216.8359904,283623334.9884503
Clemons,838187,1417005127.9331295,1324514053.0821145
Union,919597,1684924429.1791172,2961904055.8469777
Karstens,459985,810404099.9612762,131746825.44016117
Summerview,770936,1176745285.9829,817595472.2990897
Barnett,171371,2140691684.8817906,2167971330.3200464
Nobel,64873,1399636729.783007,166032357.08221462
Brown,54571,1716347337.4208202,1883673481.5375361
Green,291796,763471235.2130086,1151855659.2700825
Myrtle,560406,1855853820.2394452,58063639.24786159
Mallard,452041,2142434035.1960473,1259122799.4202611
Everett,751432,1945355904.914209,810045135.361965
Lake View,371287,274537442.2315445,681033352.1200391
Pearson,875477,1272067204.1385005,4452735053.482081
3rd,506777,1903894154.0937169,2804899903.3984017
Kensington,668065,1195763733.1241224,1360518506.6837525
Tony,833328,1790612079.2420902,2580155716.790864
Oak,23704,1808814162.8749251,1917110334.1730022
Oak,861994,2003788385.7357273,1646935135.8934278
Riverside,344582,1928036238.7241297,3243471348.0374775
Manley,768228,1931959392.9574192,3020699632.744977
Buena Vista,721749,39941236.26365418,192707653.0670921
Mallory,391730,1605250540.0631666,1450382964.687443
Aberg,200794,1427695673.4816668,1788678249.4453957
Melvin,4748,179098333.48463956,821329365.6486439
Coleman,900440,1326082561.3989928,1681973310.8091242
Derek,600308,114126656.59078321,76371804.6787427
Veith,272803,1130946173.7785711,4818809005.635959
7th,209369,2112853107.3237195,5383322548.251555
Gateway,402758,432730177.89772767,2010920556.4765549
Lindbergh,381661,1939437673.7766516,2165167326.960479
Morningstar,847449,1724664163.4653418,207179032.90601382
Atwood,793734,889426261.5709499,2313485803.4470553
Dunning,782926,1576727279.0589705,2709811232.407502
Anthes,890987,572672242.6280714,5323254071.949748
Kingsford,409322,559316620.9234556,3558583749.8346705
Independence,544302,984861183.5916564,4527923807.1628
Summerview,976047,521855753.9101511,324655407.6438739
Truax,127349,2064396613.3162074,105583444.0258139
Stang,869811,1005966239.0073941,3665045984.4373794
Melby,447145,201824661.21099454,1096293630.6606963
Cottonwood,209303,1155082414.4081395,2108413263.7770455
Darwin,881597,1449931413.9362533,966542961.8019534
Mockingbird,406780,487717668.6410471,3437177220.4743752
Burrows,592981,498070282.53783214,1276162114.531014
Eastwood,351564,349035105.5650744,5662278927.797542
Gulseth,823064,965240196.7974806,734957701.1718309
Schiller,552592,1010808668.1535875,4176632669.4444833
Browning,531501,1428557209.7994688,1146128778.8086183
Manufacturers,309711,108464216.0420403,771216071.4256943
Dorton,330572,404271468.4696749,4268688311.7636805
Monument,246083,195457200.86363307,15503241815.816076
Stephen,475794,499100063.00498015,1347718100.099545
Upham,68249,2137121288.6810262,1393712083.7953188
Dexter,709306,853268102.8699089,825518146.617584
Service,389296,1525616014.4992502,3513687186.0080457
Jenna,78936,1412952009.9464304,4198760966.4071507
Sundown,862250,1392326054.4087856,643838692.0127635
Thompson,264723,760997128.8680059,263191584.2067082
Bunting,980463,1844847425.501011,1836487292.7278752
Dapin,587072,375360198.2278031,8229845494.618371
Pleasure,891205,2042393176.8757253,8022888411.662679
Golf,591004,1279931788.0677862,1937446956.8476255
Sugar,736378,1378670034.042367,528554243.8871212
Dixon,699750,1164767933.2779157,936835395.7346243
